"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Luis_María_Drago","Luis María Drago",1859
"http://dbpedia.org/resource/Carrie_Chapman_Catt","Carrie Chapman Catt",1859
"http://dbpedia.org/resource/Henrietta_Szold","Henrietta Szold",1860
"http://dbpedia.org/resource/Hjalmar_Branting","Hjalmar Branting",1860
"http://dbpedia.org/resource/Jane_Addams","Jane Addams",1860
"http://dbpedia.org/resource/John_Bassett_Moore","John Bassett Moore",1860
"http://dbpedia.org/resource/Alfred_Ploetz","Alfred Ploetz",1860
"http://dbpedia.org/resource/Raoul_Dandurand","Raoul Dandurand",1861
"http://dbpedia.org/resource/Fridtjof_Nansen","Fridtjof Nansen",1861
"http://dbpedia.org/resource/Herbert_J._Davenport","Herbert J. Davenport",1861
"http://dbpedia.org/resource/Charles_Evans_Hughes","Charles Evans Hughes",1862
"http://dbpedia.org/resource/Edward_Grey,_1st_Viscount_Grey_of_Fallodon","Edward Grey, 1st Viscount Grey of Fallodon",1862
"http://dbpedia.org/resource/Milovan_Milovanović","Milovan Milovanović",1863
"http://dbpedia.org/resource/Pierre_de_Coubertin","Pierre de Coubertin",1863
"http://dbpedia.org/resource/Augusto_B._Leguía","Augusto B. Leguía",1863
"http://dbpedia.org/resource/Austen_Chamberlain","Austen Chamberlain",1863
"http://dbpedia.org/resource/David_Lloyd_George","David Lloyd George",1863
"http://dbpedia.org/resource/Arthur_Henderson","Arthur Henderson",1863
"http://dbpedia.org/resource/Alfred_Hermann_Fried","Alfred Hermann Fried",1864
"http://dbpedia.org/resource/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood","Robert Cecil, 1st Viscount Cecil of Chelwood",1864
"http://dbpedia.org/resource/Otfried_Nippold","Otfried Nippold",1864
"http://dbpedia.org/resource/Natanael_Beskow","Natanael Beskow",1865
"http://dbpedia.org/resource/Charles_G._Dawes","Charles G. Dawes",1865
"http://dbpedia.org/resource/Paul_Hymans","Paul Hymans",1865
"http://dbpedia.org/resource/John_Mott","John Mott",1865
"http://dbpedia.org/resource/Salmon_Levinson","Salmon Levinson",1865
"http://dbpedia.org/resource/Warren_G._Harding","Warren G. Harding",1865
"http://dbpedia.org/resource/Antonio_Sánchez_de_Bustamante_y_Sirven","Antonio Sánchez de Bustamante y Sirven",1865
"http://dbpedia.org/resource/James_Chapple","James Chapple",1865
"http://dbpedia.org/resource/Gustav_Adolf_Deissmann","Gustav Adolf Deissmann",1866
"http://dbpedia.org/resource/James_Brown_Scott","James Brown Scott",1866
"http://dbpedia.org/resource/Gilbert_Murray","Gilbert Murray",1866
"http://dbpedia.org/resource/Ramsay_MacDonald","Ramsay MacDonald",1866
"http://dbpedia.org/resource/Nathan_Söderblom","Nathan Söderblom",1866
"http://dbpedia.org/resource/Andrey_Lyapchev","Andrey Lyapchev",1866
"http://dbpedia.org/resource/Józef_Piłsudski","Józef Piłsudski",1867
"http://dbpedia.org/resource/Marie_Curie","Marie Curie",1867
"http://dbpedia.org/resource/Hans_Driesch","Hans Driesch",1867
"http://dbpedia.org/resource/Emily_Greene_Balch","Emily Greene Balch",1867
"http://dbpedia.org/resource/Katharine_Glasier","Katharine Glasier",1867
"http://dbpedia.org/resource/Paul_Harris_(Rotary)","Paul Harris (Rotary)",1868
"http://dbpedia.org/resource/Anna_B._Eckstein","Anna B. Eckstein",1868
"http://dbpedia.org/resource/Harold_Harmsworth,_1st_Viscount_Rothermere","Harold Harmsworth, 1st Viscount Rothermere",1868
"http://dbpedia.org/resource/Théodore_Eugène_César_Ruyssen","Théodore Eugène César Ruyssen",1868
"http://dbpedia.org/resource/Francesco_Saverio_Nitti","Francesco Saverio Nitti",1868
"http://dbpedia.org/resource/Mahatma_Gandhi","Mahatma Gandhi",1869
"http://dbpedia.org/resource/Neville_Chamberlain","Neville Chamberlain",1869
"http://dbpedia.org/resource/Edward_Price_Bell","Edward Price Bell",1869
"http://dbpedia.org/resource/Christian_Lous_Lange","Christian Lous Lange",1869
"http://dbpedia.org/resource/Friedrich_Wilhelm_Foerster","Friedrich Wilhelm Foerster",1869
"http://dbpedia.org/resource/Maria_Montessori","Maria Montessori",1870
"http://dbpedia.org/resource/Louis_de_Brouckère","Louis de Brouckère",1870
"http://dbpedia.org/resource/Karl_Renner","Karl Renner",1870
"http://dbpedia.org/resource/George_Saint-Paul","George Saint-Paul",1870
"http://dbpedia.org/resource/George_Saint-Paul","Georges Saint-Paul",1870
"http://dbpedia.org/resource/Jan_Smuts","Jan Smuts",1870
"http://dbpedia.org/resource/Peter_Rochegune_Munch","Peter Rochegune Munch",1870
"http://dbpedia.org/resource/D._T._Suzuki","D. T. Suzuki",1870
"http://dbpedia.org/resource/Juho_Kusti_Paasikivi","Juho Kusti Paasikivi",1870
"http://dbpedia.org/resource/Guglielmo_Ferrero","Guglielmo Ferrero",1871
"http://dbpedia.org/resource/Giuseppe_Motta","Giuseppe Motta",1871
"http://dbpedia.org/resource/Arthur_Griffith","Arthur Griffith",1871
"http://dbpedia.org/resource/Cordell_Hull","Cordell Hull",1871
"http://dbpedia.org/resource/Bertrand_Russell","Bertrand Russell",1872
"http://dbpedia.org/resource/Édouard_Herriot","Édouard Herriot",1872
"http://dbpedia.org/resource/Lionel_Curtis","Lionel Curtis",1872
"http://dbpedia.org/resource/Norman_Angell","Norman Angell",1872
"http://dbpedia.org/resource/Alexandra_Kollontai","Alexandra Kollontai",1872
"http://dbpedia.org/resource/Max_Reinhardt","Max Reinhardt",1873
"http://dbpedia.org/resource/E._D._Morel","E. D. Morel",1873
